part,level,category,passage,translation,question,choice1,choice2,choice3,choice4,answer,exp_correct,exp_wrong1,exp_wrong2,exp_wrong3,q1_num,q1_question,q1_choice1,q1_choice2,q1_choice3,q1_choice4,q1_answer,q1_exp_correct,q1_exp_wrong1,q1_exp_wrong2,q1_exp_wrong3,q2_num,q2_question,q2_choice1,q2_choice2,q2_choice3,q2_choice4,q2_answer,q2_exp_correct,q2_exp_wrong1,q2_exp_wrong2,q2_exp_wrong3,q3_num,q3_question,q3_choice1,q3_choice2,q3_choice3,q3_choice4,q3_answer,q3_exp_correct,q3_exp_wrong1,q3_exp_wrong2,q3_exp_wrong3,q4_num,q4_question,q4_choice1,q4_choice2,q4_choice3,q4_choice4,q4_answer,q4_exp_correct,q4_exp_wrong1,q4_exp_wrong2,q4_exp_wrong3,q5_num,q5_question,q5_choice1,q5_choice2,q5_choice3,q5_choice4,q5_answer,q5_exp_correct,q5_exp_wrong1,q5_exp_wrong2,q5_exp_wrong3
5,600-730,語彙,,オリジナルの講師が都合により出席できないため、田中氏が今度のマーケティングセミナーに出席する予定です。,Mr. Tanaka will ------- the upcoming marketing seminar because the original speaker is unavailable.,attendance,attendant,attend,attending,attend,正解：助動詞 will の直後なので、動詞の原形（attend）が適切です。文後半の理由から「セミナーに出席する」という流れが最も自然に繋がります。,不正解：attendanceは名詞（出席）であり、助動詞の直後に置くことはできません。,不正解：attendantは名詞（出席者、案内係）であり、意味も文法も合いません。,不正解：attendingは現在分詞（または動名詞）であり、will の直後には置けません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,語彙,,経理部は、100ドルを超えるすべての出張経費について、詳細な説明を求めています。,The accounting department requires a ------- explanation for all business expenses exceeding one hundred dollars.,durable,detailed,fluent,compulsory,detailed,正解：形容詞「detailed（詳細な）」が適切です。名詞 explanation を修飾して「詳細な説明（detailed explanation）」とするビジネス英語の頻出表現です。,不正解：durable（耐久性のある）は、資材や製品の寿命が長いことを表すため、説明（explanation）という抽象名詞を修飾することはできません。,不正解：fluent（流暢な）は、言語の運用能力を表す言葉なので、経費の説明に対する修飾語としては不適切です。,不正解：compulsory（義務的な）は状況には使えますが、「説明」の性質そのものを表す文脈としては不自然です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,品詞・語形,,新しく任命されたマネージャーは顧客からの苦情を見事に対応し、それが取締役からの賞賛へと繋がりました。,"The newly appointed manager handled the client complaint -------, which earned him praise from the director.",professional,professionalism,professionalize,professionally,professionally,正解：副詞「professionally（プロとして見事に、専門的に）」が正解です。空欄は動詞 handled を後ろから修飾する位置にあるため、末尾が「-ly」で終わる副詞が文法的に唯一適切となります。,不正解：professionalは形容詞（プロの）または名詞です。ここでは動詞 handled を直接修飾できないため文法的に間違いです。,不正解：professionalismは名詞（プロ意識）です。動詞の後ろに目的語 complaint がすでにあるため、名詞を並べることはできません。,不正解：professionalizeは動詞（プロ化する）です。すでに handled という主要動詞が存在するため、接続詞なしで動詞を重ねられません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,品詞・語形,,取締役会は現在、提案された予算配分計画の実現可能性について検討を行っています。,The board of directors is currently reviewing the ------- of the proposed budget allocation plan.,feasibility,feasible,feasibly,feasibleness,feasibility,正解：名詞「feasibility（実現可能性）」が正解です。空欄は、定冠詞 the と前置詞 of に挟まれた位置（the ＋ 空欄 ＋ of ?）にあるため、名詞だけが配置できます。,不正解：feasibleは形容詞（実現可能な）です。冠詞 the の直後に単独で置くことはできず、後ろに名詞が必要となるため文法的に不適切です。,不正解：feasiblyは副詞（実現可能に）です。副詞が冠詞 the の直後に来て名詞句の核になることはできません。,不正解：feasiblenessは文法的に名詞の形をしていますが、英語圏では feasibility が完全に一般的な名詞として定着しているため不正解です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,前置詞・接続詞,,深刻な悪天候のため、2つの島を結ぶフェリーの運航が一時見合わされました。,The ferry service between the two islands was suspended ------- the severe weather conditions.,because,because of,although,in spite of,because of,正解：群前置詞「because of（?の理由で、?のために）」が正解です。空欄の後ろには「the severe weather conditions（深刻な悪天候）」という名詞の塊が続いているため、前置詞の性質を持つこれが必要となります。,不正解：becauseは接続詞です。後ろには「主語 ＋ 動詞」の完全な文章が続かなければならないため、名詞句しか存在しない今回は配置できません。,不正解：althoughは接続詞（?だけれども）です。文法的に後ろに文章が必要なだけでなく、意味としても因果関係が逆転してしまいます。,不正解：in spite ofは前置詞（?にもかかわらず）です。後ろに名詞を置くことはできますが、意味が完全に破綻します。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,前置詞・接続詞,,市場調査では強い関心が示されているにもかかわらず、その会社は新商品の発売を延期する予定です。,"------- the market research indicates strong interest, the company will delay the product launch.",Despite,As long as,Even though,Therefore,Even though,正解：接続詞「Even though（?であるけれども、?にもかかわらず）」が正解です。空欄の後ろには「主語 ＋ 動詞」の文章が続いており、逆接の文脈を成立させる接続詞としてこれが最適です。,不正解：Despiteは前置詞（?にもかかわらず）です。意味は通じますが、前置詞の後ろに文章を直接続けることはできないため間違いとなります。,不正解：As long asは接続詞（?する限り）です。文法的には文章を続けられますが、意味を当てはめると前後の論理展開が完全に矛盾します。,不正解：Thereforeは副詞（したがって）です。2つの文章を繋ぐ接続詞としての機能を持たないため、文頭において文章同士を結合できません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,代名詞・関係代名詞,,マーケティングチームは、新しいパンフレットに関する見事な仕事に対して、そのグラフィックデザイナーに感謝の意を伝えました。,The marketing team thanked the graphic designer for ------- exceptional work on the new brochure.,she,hers,her,herself,her,正解：所有格の代名詞「her（彼女の）」が正解です。空欄の直後には「exceptional work（優れた仕事）」という名詞句があるため、名詞の前に置いて所有の関係を表す所有格が適切です。,不正解：Despiteは前置詞（?にもかかわらず）です。意味は通じますが、前置詞の後ろに文章を直接続けることはできないため間違いとなります。,不正解：hersは所有代名詞（彼女のもの）です。これ自体が名詞の役割を果たしてしまうため、後ろにさらに名詞を重ねることは不可能です。,不正解：herselfは再帰代名詞（彼女自身）です。主語の行動が自分自身に返ってくる場合などに用いるため、名詞を前から修飾できません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,代名詞・関係代名詞,,レイノルズ氏は、新しい工場のろ過システムを設計したシニアエンジニアです。,Mr. Reynolds is the senior engineer ------- designed the filtration system for the new plant.,whom,which,whose,who,who,正解：関係代名詞「who」が正解です。空欄の前にある先行詞は「the senior engineer（シニアエンジニア）」という人間です。直後に動詞（designed）が来て主語が欠けているため、主格の who が適切です。,不正解：whomは目的格の関係代名詞です。後ろに「主語 ＋ 動詞」が続き、目的語が欠けている場合にしか使えないため今回は使えません。,不正解：whichは先行詞が物・動物の場合に使う関係代名詞です。今回の先行詞は人間なので使用できません。,不正解：whoseは所有格の関係代名詞です。後ろに冠詞のない名詞が続き、「先行詞の?」という意味を作らなければならず不自然です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,600-730,時制,,アペックス・エレクトロニクス社は、来月の展示会で環境に配慮したスマートフォン用の新しいラインナップを発表する予定です。,Apex Electronics ------- its new line of eco-friendly smartphones at the exhibition next month.,Apex Electronics ------- its new line of eco-friendly smartphones at the exhibition next month.,introduced,will introduce,introduces,has introduced,will introduce,正解：未来時制「will introduce（?を紹介する予定だ）」が正解です。文の末尾にある「next month（来月）」という明確な未来を表す副詞句が最大のヒントとなります。,不正解：introducedは過去形です。末尾の「next month（来月）」と時制が完全に矛盾してしまうため、過去形を配置することはできません。,不正解：introducesは現在形です。現在形は日々の習慣や不変の事実を表すため、単なる来月の新商品発表の予定に対して使うのは不自然です。,不正解：has introducedは現在完了形です。過去に起けることが現在まで影響している状態を表す時制であるため、未来の出来事には絶対に使えません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,730-860,時制,,来週新しい最高経営責任者（CEO）が到着する頃までには、技術チームはシステムの移行を完了させていることでしょう。,"By the time the new CEO arrives next week, the technical team ------- the system migration.",completed,completes,has been completing,will have completed,will have completed,正解：未来完了時制「will have completed（?を完了させているだろう）」が正解です。「By the time ＋ 現在形 ＋ 将来の時間」は未来完了（will have ＋ 過去分詞）の代表的な合図です。,不正解：completedは過去形です。来週という未来の基準点に向けて話を展開しているため、過去形を配置すると時制の論理が完全に崩壊します。,不正解：completesは現在形です。By the time の節の中では現在形を使いますが、主節（カンマの後ろの本動詞）では未来完了にする必要があります。,不正解：has been completingは現在完了進行形です。過去から現在にいたるまでの継続を表すため、未来の基準点に向けた完了の予測としては使用できません。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
